temperature_rnn,humidity_rnn,pressure_rnn,windSpeed_rnn,irradiance_rnn,temperature_actual,humidity_actual,pressure_actual,windSpeed_actual,irradiance_actual
27.955402,77.00415,1012.98206,0.0,20.13409,27.900000000000002,76.4,1012.99,0.0,0.0
27.956732,76.9938,1012.9732,0.0,20.085304,27.900000000000002,76.4,1012.9500000000002,0.0,0.0
27.958075,77.00364,1012.95105,0.0,20.317793,27.900000000000002,76.3,1012.97,0.0,0.0
27.96442,76.94473,1012.9474,0.0,20.181358,27.900000000000002,76.2,1013.02,0.0,0.0
27.968372,76.83922,1012.9696,0.0,19.75435,27.900000000000002,76.2,1013.0,0.0,0.0
27.964685,76.79802,1012.9758,0.0,19.84933,27.900000000000002,76.3,1012.9800000000001,0.0,0.0
27.953882,76.837685,1012.96906,0.0,19.567877,27.900000000000002,76.3,1012.9800000000001,0.0,0.0
27.949835,76.85358,1012.9634,0.0,19.515663,27.900000000000002,76.4,1012.97,0.0,0.0
27.942562,76.91173,1012.9541,0.0,19.24038,27.900000000000002,76.4,1012.97,0.0,0.0
27.942081,76.93557,1012.9484,0.0,19.298018,27.900000000000002,76.4,1012.8999999999999,0.0,0.0
27.94653,76.9788,1012.915,0.0,20.09058,27.900000000000002,76.4,1012.91,0.0,0.0
27.950909,76.99169,1012.8986,0.0,19.75727,27.900000000000002,76.3,1012.9299999999998,0.0,0.0
27.959248,76.9328,1012.9,0.0,19.719898,27.900000000000002,76.4,1012.9399999999999,0.0,0.0
27.952785,76.94553,1012.9067,0.0,19.079716,27.900000000000002,76.4,1012.92,0.0,0.0
27.9499,76.95785,1012.90295,0.0,19.298346,27.900000000000002,76.2,1012.91,0.0,0.0
27.962337,76.870766,1012.8981,0.0,20.10435,27.900000000000002,76.3,1012.8999999999999,0.0,0.0
27.958073,76.8835,1012.88965,0.0,19.568384,27.900000000000002,76.2,1012.8999999999999,0.0,0.0
27.962198,76.83604,1012.8851,0.0,19.732386,27.900000000000002,76.3,1012.89,0.0,0.0
27.955114,76.86409,1012.8771,0.0,19.248486,27.900000000000002,76.3,1012.8999999999999,0.0,0.0
27.95165,76.867065,1012.8765,0.0,19.02026,27.900000000000002,76.3,1012.8700000000001,0.0,0.0
27.950993,76.87921,1012.8636,0.0,19.30791,27.900000000000002,76.3,1012.8700000000001,0.0,0.0
27.951208,76.88235,1012.8556,0.0,19.187004,27.900000000000002,76.3,1012.85,0.0,0.0
27.952179,76.88947,1012.8424,0.0,19.288658,27.900000000000002,76.2,1012.88,0.0,0.0
27.958088,76.82662,1012.8488,0.0,19.184292,27.900000000000002,76.3,1012.86,0.0,0.0
27.951767,76.853004,1012.8446,0.0,18.915892,27.900000000000002,76.2,1012.92,0.0,0.0
27.953213,76.786026,1012.86914,0.0,18.599897,27.900000000000002,76.2,1012.92,0.0,0.0
27.950388,76.75584,1012.88525,0.0,18.714725,27.900000000000002,76.2,1012.8999999999999,0.0,0.0
27.948193,76.7559,1012.88574,0.0,19.039513,27.900000000000002,76.3,1012.8999999999999,0.0,0.0
27.940746,76.80799,1012.8834,0.0,18.70647,27.900000000000002,76.2,1012.91,0.0,0.0
27.946072,76.77934,1012.8863,0.0,19.082516,27.900000000000002,76.1,1012.89,0.0,0.0
27.955425,76.72986,1012.88025,0.0,19.696266,27.900000000000002,76.2,1012.9299999999998,0.0,0.0
27.94956,76.73822,1012.8928,0.0,18.740685,27.900000000000002,76.2,1012.89,0.0,0.0
27.948095,76.75982,1012.8833,0.0,19.245476,27.900000000000002,76.2,1012.92,0.0,0.0
